ca10000,s11,s33
9961,0.00001414,0.00003910
9962,0.00001373,0.00003806
9963,0.00001331,0.00003702
9964,0.00001290,0.00003599
9965,0.00001249,0.00003494
9966,0.00001207,0.00003390
9967,0.00001167,0.00003287
9968,0.00001125,0.00003182
9969,0.00001084,0.00003078
9970,0.00001044,0.00002975
9971,0.00001002,0.00002870
9972,0.00000962,0.00002766
9973,0.00000922,0.00002663
9974,0.00000882,0.00002559
9975,0.00000845,0.00002459
9976,0.00000801,0.00002351
9977,0.00000762,0.00002249
9978,0.00000722,0.00002145
9979,0.00000682,0.00002041
9980,0.00000640,0.00001935
9981,0.00000600,0.00001831
9982,0.00000561,0.00001728
9983,0.00000522,0.00001625
9984,0.00000485,0.00001524
9985,0.00000440,0.00001414
9986,0.00000409,0.00001319
9987,0.00000364,0.00001210
9988,0.00000334,0.00001114
9989,0.00000292,0.00001007
9990,0.00000248,0.00000899
9991,0.00000212,0.00000798
9992,0.00000171,0.00000693
9993,0.00000132,0.00000589
9994,0.00000098,0.00000490
9995,0.00000078,0.00000405
9996,0.00000038,0.00000299
9997,-0.00000009,0.00000187
9998,-0.00000049,0.00000082
9999,-0.00000081,-0.00000016
